Bevölkerung nach Geschlecht, 3 unregelmäßigen Altersgruppen und Nationalität seit 2008 - Zählbezirke Wien | Population by sex, 3 broad age groups and nationality since 2008 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90100;90105;2015;20150101;2;2;522;211
AT13;90100;90105;2015;20150101;2;3;235;17
AT13;90100;90106;2015;20150101;1;1;95;12
AT13;90100;90106;2015;20150101;1;2;640;165
AT13;90100;90106;2015;20150101;1;3;255;22
AT13;90100;90106;2015;20150101;2;1;109;24
AT13;90100;90106;2015;20150101;2;2;679;186
AT13;90100;90106;2015;20150101;2;3;341;32
AT13;90100;90107;2015;20150101;1;1;103;36
AT13;90100;90107;2015;20150101;1;2;626;190
AT13;90100;90107;2015;20150101;1;3;282;38
AT13;90100;90107;2015;20150101;2;1;67;22
AT13;90100;90107;2015;20150101;2;2;558;261
AT13;90100;90107;2015;20150101;2;3;361;47
AT13;90100;90199;2015;20150101;1;1;0;0
AT13;90100;90199;2015;20150101;1;2;0;0
AT13;90100;90199;2015;20150101;1;3;0;0
AT13;90100;90199;2015;20150101;2;1;0;0
AT13;90100;90199;2015;20150101;2;2;0;0
AT13;90100;90199;2015;20150101;2;3;0;0
AT13;90100;90101;2016;20160101;1;1;162;48
AT13;90100;90101;2016;20160101;1;2;888;395
AT13;90100;90101;2016;20160101;1;3;387;56
AT13;90100;90101;2016;20160101;2;1;149;45
AT13;90100;90101;2016;20160101;2;2;915;381
AT13;90100;90101;2016;20160101;2;3;521;55
AT13;90100;90102;2016;20160101;1;1;78;28
AT13;90100;90102;2016;20160101;1;2;335;121
AT13;90100;90102;2016;20160101;1;3;128;20
AT13;90100;90102;2016;20160101;2;1;70;29
AT13;90100;90102;2016;20160101;2;2;329;166
AT13;90100;90102;2016;20160101;2;3;209;20
AT13;90100;90103;2016;20160101;1;1;80;32
AT13;90100;90103;2016;20160101;1;2;427;188
AT13;90100;90103;2016;20160101;1;3;205;48
AT13;90100;90103;2016;20160101;2;1;60;38
AT13;90100;90103;2016;20160101;2;2;444;221
AT13;90100;90103;2016;20160101;2;3;254;34
AT13;90100;90104;2016;20160101;1;1;54;14
AT13;90100;90104;2016;20160101;1;2;349;132
AT13;90100;90104;2016;20160101;1;3;149;19
AT13;90100;90104;2016;20160101;2;1;57;31
AT13;90100;90104;2016;20160101;2;2;338;136
AT13;90100;90104;2016;20160101;2;3;196;22
AT13;90100;90105;2016;20160101;1;1;86;34
AT13;90100;90105;2016;20160101;1;2;532;171
AT13;90100;90105;2016;20160101;1;3;165;21
AT13;90100;90105;2016;20160101;2;1;106;32
AT13;90100;90105;2016;20160101;2;2;503;214
AT13;90100;90105;2016;20160101;2;3;231;18
AT13;90100;90106;2016;20160101;1;1;101;15
AT13;90100;90106;2016;20160101;1;2;636;196
AT13;90100;90106;2016;20160101;1;3;258;23
AT13;90100;90106;2016;20160101;2;1;115;25
AT13;90100;90106;2016;20160101;2;2;693;196
AT13;90100;90106;2016;20160101;2;3;338;33
AT13;90100;90107;2016;20160101;1;1;104;36
AT13;90100;90107;2016;20160101;1;2;614;205
AT13;90100;90107;2016;20160101;1;3;275;46
AT13;90100;90107;2016;20160101;2;1;72;26
AT13;90100;90107;2016;20160101;2;2;555;267
AT13;90100;90107;2016;20160101;2;3;355;51
AT13;90100;90199;2016;20160101;1;1;0;0
AT13;90100;90199;2016;20160101;1;2;0;0
AT13;90100;90199;2016;20160101;1;3;0;0
AT13;90100;90199;2016;20160101;2;1;0;0
AT13;90100;90199;2016;20160101;2;2;0;0
AT13;90100;90199;2016;20160101;2;3;0;0
AT13;90100;90101;2017;20170101;1;1;147;53
AT13;90100;90101;2017;20170101;1;2;872;389
AT13;90100;90101;2017;20170101;1;3;387;60
AT13;90100;90101;2017;20170101;2;1;146;41
AT13;90100;90101;2017;20170101;2;2;902;422
AT13;90100;90101;2017;20170101;2;3;521;62
AT13;90100;90102;2017;20170101;1;1;76;27
AT13;90100;90102;2017;20170101;1;2;325;122
AT13;90100;90102;2017;20170101;1;3;136;21
AT13;90100;90102;2017;20170101;2;1;64;32
AT13;90100;90102;2017;20170101;2;2;332;163
AT13;90100;90102;2017;20170101;2;3;206;19
AT13;90100;90103;2017;20170101;1;1;82;38
AT13;90100;90103;2017;20170101;1;2;423;199
AT13;90100;90103;2017;20170101;1;3;214;44
AT13;90100;90103;2017;20170101;2;1;69;51
AT13;90100;90103;2017;20170101;2;2;425;234
AT13;90100;90103;2017;20170101;2;3;259;33
AT13;90100;90104;2017;20170101;1;1;51;18
AT13;90100;90104;2017;20170101;1;2;361;134
AT13;90100;90104;2017;20170101;1;3;149;19
AT13;90100;90104;2017;20170101;2;1;54;27
AT13;90100;90104;2017;20170101;2;2;331;153
AT13;90100;90104;2017;20170101;2;3;194;22
AT13;90100;90105;2017;20170101;1;1;95;31
AT13;90100;90105;2017;20170101;1;2;528;174
AT13;90100;90105;2017;20170101;1;3;172;22
AT13;90100;90105;2017;20170101;2;1;110;31
AT13;90100;90105;2017;20170101;2;2;493;211
AT13;90100;90105;2017;20170101;2;3;226;26
AT13;90100;90106;2017;20170101;1;1;101;17
AT13;90100;90106;2017;20170101;1;2;646;204
AT13;90100;90106;2017;20170101;1;3;262;24
AT13;90100;90106;2017;20170101;2;1;116;25
AT13;90100;90106;2017;20170101;2;2;677;195
AT13;90100;90106;2017;20170101;2;3;328;34
AT13;90100;90107;2017;20170101;1;1;105;39
AT13;90100;90107;2017;20170101;1;2;617;205
AT13;90100;90107;2017;20170101;1;3;268;46
AT13;90100;90107;2017;20170101;2;1;71;34
AT13;90100;90107;2017;20170101;2;2;552;277
AT13;90100;90107;2017;20170101;2;3;346;48
AT13;90100;90199;2017;20170101;1;1;0;0
AT13;90100;90199;2017;20170101;1;2;0;0
AT13;90100;90199;2017;20170101;1;3;0;0
AT13;90100;90199;2017;20170101;2;1;0;0
AT13;90100;90199;2017;20170101;2;2;0;0
AT13;90100;90199;2017;20170101;2;3;0;0
AT13;90100;90101;2018;20180101;1;1;136;53
AT13;90100;90101;2018;20180101;1;2;875;363
AT13;90100;90101;2018;20180101;1;3;379;66
AT13;90100;90101;2018;20180101;2;1;133;36
AT13;90100;90101;2018;20180101;2;2;887;396
AT13;90100;90101;2018;20180101;2;3;528;65
AT13;90100;90102;2018;20180101;1;1;75;23
AT13;90100;90102;2018;20180101;1;2;329;137
AT13;90100;90102;2018;20180101;1;3;134;24
AT13;90100;90102;2018;20180101;2;1;64;30
AT13;90100;90102;2018;20180101;2;2;337;168
AT13;90100;90102;2018;20180101;2;3;200;23
AT13;90100;90103;2018;20180101;1;1;87;33
AT13;90100;90103;2018;20180101;1;2;430;203
AT13;90100;90103;2018;20180101;1;3;206;46
AT13;90100;90103;2018;20180101;2;1;79;44
AT13;90100;90103;2018;20180101;2;2;433;242
AT13;90100;90103;2018;20180101;2;3;252;32
AT13;90100;90104;2018;20180101;1;1;52;17
AT13;90100;90104;2018;20180101;1;2;352;140
AT13;90100;90104;2018;20180101;1;3;152;21
AT13;90100;90104;2018;20180101;2;1;60;26
AT13;90100;90104;2018;20180101;2;2;326;153
AT13;90100;90104;2018;20180101;2;3;194;23
AT13;90100;90105;2018;20180101;1;1;97;27
AT13;90100;90105;2018;20180101;1;2;525;170
AT13;90100;90105;2018;20180101;1;3;167;23
AT13;90100;90105;2018;20180101;2;1;101;30
AT13;90100;90105;2018;20180101;2;2;492;205
AT13;90100;90105;2018;20180101;2;3;220;28
AT13;90100;90106;2018;20180101;1;1;107;17
AT13;90100;90106;2018;20180101;1;2;634;196
AT13;90100;90106;2018;20180101;1;3;266;28
AT13;90100;90106;2018;20180101;2;1;116;25
AT13;90100;90106;2018;20180101;2;2;687;222
AT13;90100;90106;2018;20180101;2;3;332;40
AT13;90100;90107;2018;20180101;1;1;101;50
AT13;90100;90107;2018;20180101;1;2;615;222
AT13;90100;90107;2018;20180101;1;3;261;48
AT13;90100;90107;2018;20180101;2;1;72;32
AT13;90100;90107;2018;20180101;2;2;544;289
AT13;90100;90107;2018;20180101;2;3;349;48
