C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201811;W96-9;96;3049;5961
201811;W96-9;16;31576;70910
201811;W96-9;93;1378;3483
201811;W96-9;57;2436;6419
201811;W96-9;58;2719;6244
201811;W96-9;37;4372;9798
201811;W96-9;40;3272;7435
201812;W96-9;01;7406;14843
201812;W96-9;70;9118;15771
201812;W96-9;71;16051;29255
201812;W96-9;72;16104;26664
201812;W96-9;73;26723;45868
201812;W96-9;74;17160;30433
201812;W96-9;75;25278;43897
201812;W96-9;76;15980;29825
201812;W96-9;77;8431;16866
201812;W96-9;80;28546;63365
201812;W96-9;81;12981;30546
201812;W96-9;82;16797;40708
201812;W96-9;83;14125;33109
201812;W96-9;84;12947;30466
201812;W96-9;85;11005;24951
201812;W96-9;53;12497;28138
201812;W96-9;56;3563;7677
201812;W96-9;60;7358;19887
201812;W96-9;62;7416;18508
201812;W96-9;94;3694;9232
201812;W96-9;08;5745;13911
201812;W96-9;67;14849;29098
201812;W96-9;11;2561;6751
201812;W96-9;86;994;2489
201812;W96-9;13;4432;10852
201812;W96-9;14;21039;57193
201812;W96-9;15;14934;38763
201812;W96-9;87;3495;8332
201812;W96-9;18;4348;11020
201812;W96-9;49;372;1106
201812;W96-9;19;10483;33140
201812;W96-9;20;43857;112331
201812;W96-9;21;11236;23761
201812;W96-9;22;7247;15055
201812;W96-9;23;3854;10144
201812;W96-9;51;6080;10832
201812;W96-9;88;866;2262
201812;W96-9;89;774;2029
201812;W96-9;63;1211;3085
201812;W96-9;90;1768;5657
201812;W96-9;61;826;2010
201812;W96-9;25;10706;27472
201812;W96-9;26;2462;6374
201812;W96-9;27;9443;18875
201812;W96-9;28;2833;7363
201812;W96-9;29;22853;53924
201812;W96-9;91;19589;48737
201812;W96-9;95;1168;2773
201812;W96-9;31;3387;8590
201812;W96-9;32;17482;42746
201812;W96-9;10;3782;6264
201812;W96-9;52;4235;7228
201812;W96-9;33;25261;65251
201812;W96-9;34;1388;3338
201812;W96-9;17;3685;8312
201812;W96-9;64;7572;14523
201812;W96-9;59;10068;19504
201812;W96-9;65;6692;10749
201812;W96-9;09;14706;23423
201812;W96-9;36;4966;10828
201812;W96-9;92;10414;25219
201812;W96-9;38;14202;23230
201812;W96-9;39;36294;85098
201812;W96-9;96;4045;8280
201812;W96-9;16;40179;96122
201812;W96-9;93;3418;10397
201812;W96-9;57;3229;8114
201812;W96-9;58;2802;6528
201812;W96-9;37;5398;12180
201812;W96-9;40;3564;8573
201901;W96-9;01;6867;13417
201901;W96-9;70;6818;11688
201901;W96-9;71;12507;22059
201901;W96-9;72;13331;22290
201901;W96-9;73;20099;33122
201901;W96-9;74;13577;23214
201901;W96-9;75;20156;34513
201901;W96-9;76;12566;22382
201901;W96-9;77;6284;11688
201901;W96-9;80;19185;40800
201901;W96-9;81;8867;19881
201901;W96-9;82;10851;23724
201901;W96-9;83;10111;22063
201901;W96-9;84;8933;19183
201901;W96-9;85;6794;15082
201901;W96-9;53;8460;18372
201901;W96-9;56;2375;5112
201901;W96-9;60;4527;11951
201901;W96-9;62;4362;10853
201901;W96-9;94;3144;8098
201901;W96-9;08;2034;4348
201901;W96-9;67;12788;23671
201901;W96-9;11;1359;3142
201901;W96-9;86;370;903
201901;W96-9;13;2131;4769
201901;W96-9;14;11450;29450
201901;W96-9;15;4942;13479
